 -95.51666   0.00000  28.66915  -0.00740   0.01342
 -95.51666   5.96065  28.04266  -0.00720   0.01294
 -95.51666  11.66080  26.19057  -0.00661   0.01151
 -95.51666  16.85131  23.19383  -0.00570   0.00921
 -95.51666  21.30533  19.18341  -0.00455   0.00612
 -95.51666  24.82822  14.33458  -0.00328   0.00239
 -95.51666  27.26599   8.85925  -0.00197  -0.00182
 -95.51666  28.51210   2.99674  -0.00065  -0.00633
 -95.51666  28.51210  -2.99674   0.00065  -0.01095
 -95.51666  27.26598  -8.85926   0.00197  -0.01546
 -95.51666  24.82821 -14.33458   0.00328  -0.01967
 -95.51666  21.30533 -19.18341   0.00455  -0.02340
 -95.51666  16.85130 -23.19383   0.00570  -0.02649
 -95.51666  11.66079 -26.19058   0.00661  -0.02880
 -95.51666   5.96065 -28.04266   0.00720  -0.03022
 -95.51666  -0.00000 -28.66915   0.00740  -0.03070
 -95.51666  -5.96065 -28.04266   0.00720  -0.03022
 -95.51666 -11.66080 -26.19057   0.00661  -0.02880
 -95.51666 -16.85131 -23.19383   0.00570  -0.02649
 -95.51666 -21.30534 -19.18341   0.00455  -0.02340
 -95.51666 -24.82822 -14.33457   0.00328  -0.01967
 -95.51666 -27.26599  -8.85925   0.00197  -0.01546
 -95.51666 -28.51210  -2.99674   0.00065  -0.01095
 -95.51666 -28.51210   2.99675  -0.00065  -0.00633
 -95.51666 -27.26598   8.85926  -0.00197  -0.00182
 -95.51666 -24.82821  14.33458  -0.00328   0.00239
 -95.51666 -21.30533  19.18341  -0.00455   0.00612
 -95.51666 -16.85130  23.19384  -0.00570   0.00921
 -95.51666 -11.66079  26.19058  -0.00661   0.01151
 -95.51666  -5.96065  28.04266  -0.00720   0.01294
 -89.46933   0.00000  28.37295  -0.00930   0.01488
 -89.46933   5.89907  27.75294  -0.00904   0.01432
 -89.46933  11.54032  25.91998  -0.00830   0.01266
 -89.46933  16.67720  22.95420  -0.00715   0.00997
 -89.46933  21.08521  18.98521  -0.00571   0.00637
 -89.46933  24.57170  14.18648  -0.00411   0.00202
 -89.46933  26.98428   8.76772  -0.00247  -0.00290
 -89.46933  28.21752   2.96578  -0.00082  -0.00816
 -89.46933  28.21752  -2.96578   0.00082  -0.01354
 -89.46933  26.98428  -8.76773   0.00247  -0.01880
 -89.46933  24.57170 -14.18648   0.00411  -0.02371
 -89.46933  21.08521 -18.98521   0.00571  -0.02806
 -89.46933  16.67720 -22.95420   0.00715  -0.03166
 -89.46933  11.54032 -25.91998   0.00830  -0.03435
 -89.46933   5.89907 -27.75294   0.00904  -0.03601
 -89.46933  -0.00000 -28.37295   0.00930  -0.03657
 -89.46933  -5.89907 -27.75294   0.00904  -0.03601
 -89.46933 -11.54032 -25.91998   0.00830  -0.03435
 -89.46933 -16.67721 -22.95420   0.00715  -0.03166
 -89.46933 -21.08522 -18.98521   0.00571  -0.02806
 -89.46933 -24.57170 -14.18647   0.00411  -0.02371
 -89.46933 -26.98428  -8.76772   0.00247  -0.01880
 -89.46933 -28.21752  -2.96578   0.00082  -0.01354
 -89.46933 -28.21752   2.96579  -0.00082  -0.00816
 -89.46933 -26.98428   8.76773  -0.00247  -0.00290
 -89.46933 -24.57170  14.18648  -0.00411   0.00202
 -89.46933 -21.08521  18.98522  -0.00571   0.00637
 -89.46933 -16.67720  22.95421  -0.00715   0.00997
 -89.46933 -11.54032  25.91999  -0.00830   0.01266
 -89.46933  -5.89906  27.75294  -0.00904   0.01432
 -83.54061   0.00000  28.06445  -0.01133   0.01633
 -83.54061   5.83493  27.45117  -0.01101   0.01568
 -83.54061  11.41484  25.63815  -0.01010   0.01374
 -83.54061  16.49587  22.70462  -0.00869   0.01059
 -83.54061  20.85595  18.77878  -0.00693   0.00639
 -83.54061  24.30453  14.03222  -0.00499   0.00130
 -83.54061  26.69088   8.67239  -0.00299  -0.00444
 -83.54061  27.91071   2.93353  -0.00099  -0.01059
 -83.54061  27.91071  -2.93354   0.00099  -0.01687
 -83.54061  26.69088  -8.67239   0.00299  -0.02302
 -83.54061  24.30453 -14.03223   0.00499  -0.02876
 -83.54061  20.85595 -18.77878   0.00693  -0.03385
 -83.54061  16.49587 -22.70462   0.00869  -0.03805
 -83.54061  11.41484 -25.63815   0.01010  -0.04119
 -83.54061   5.83492 -27.45117   0.01101  -0.04314
 -83.54061  -0.00000 -28.06445   0.01133  -0.04379
 -83.54061  -5.83493 -27.45117   0.01101  -0.04314
 -83.54061 -11.41484 -25.63815   0.01010  -0.04119
 -83.54061 -16.49587 -22.70462   0.00869  -0.03805
 -83.54061 -20.85595 -18.77878   0.00693  -0.03385
 -83.54061 -24.30453 -14.03222   0.00499  -0.02876
 -83.54061 -26.69088  -8.67239   0.00299  -0.02302
 -83.54061 -27.91071  -2.93353   0.00099  -0.01687
 -83.54061 -27.91071   2.93354  -0.00099  -0.01059
 -83.54061 -26.69088   8.67240  -0.00299  -0.00444
 -83.54061 -24.30452  14.03223  -0.00499   0.00130
 -83.54061 -20.85595  18.77879  -0.00693   0.00639
 -83.54061 -16.49587  22.70462  -0.00869   0.01059
 -83.54061 -11.41484  25.63815  -0.01010   0.01374
 -83.54061  -5.83492  27.45118  -0.01101   0.01568
 -77.64806   0.00000  27.73747  -0.01329   0.01766
 -77.64806   5.76695  27.13134  -0.01291   0.01689
 -77.64806  11.28185  25.33944  -0.01182   0.01461
 -77.64806  16.30368  22.44009  -0.01015   0.01093
 -77.64806  20.61296  18.55999  -0.00809   0.00599
 -77.64806  24.02136  13.86874  -0.00581   0.00003
